timestamp,open,high,low,close,volume
2020-06-19,5.8300,5.9000,5.5200,5.8300,1127928
2020-06-18,5.5300,5.8200,5.5300,5.7500,321422
2020-06-17,5.4600,5.6500,5.3200,5.5300,207269
2020-06-16,5.4500,5.4950,5.0900,5.3900,199504
2020-06-15,4.9700,5.4800,4.9600,5.4400,273719
2020-06-12,5.0100,5.0759,4.7550,5.0200,114671
2020-06-11,5.2200,5.2200,4.7700,4.8300,274089
2020-06-10,5.6500,5.6500,5.2500,5.3200,205929
2020-06-09,5.6400,5.8300,5.5400,5.6300,224375
2020-06-08,5.3200,5.7000,5.1900,5.5900,216074
2020-06-05,5.5700,5.6800,5.1800,5.3300,231715
2020-06-04,5.7100,5.8450,5.3750,5.5000,233000
2020-06-03,5.9200,6.0300,5.7500,5.7900,166445
2020-06-02,6.0000,6.0400,5.6700,5.9600,271018
2020-06-01,6.2000,6.2550,5.6600,6.0300,348428
2020-05-29,5.6800,6.1900,5.6100,6.0000,437943
2020-05-28,5.8500,6.3500,5.5500,5.6700,836522
2020-05-27,5.5500,5.5677,4.8001,5.1700,474052
2020-05-26,6.5800,6.7442,5.4400,5.4500,662961
2020-05-22,5.5700,6.6600,5.5696,6.2000,1600859
2020-05-21,4.5800,5.4300,4.5672,5.2500,907314
2020-05-20,4.2200,4.3500,4.1300,4.2000,221200
2020-05-19,4.1300,4.4350,4.1100,4.2200,299265
2020-05-18,4.0800,4.2600,3.9000,4.1100,278822
2020-05-15,4.5700,4.5700,3.9100,3.9700,524168
2020-05-14,5.2100,5.6000,4.1100,4.3900,1601097
2020-05-13,5.9900,6.0100,5.1200,5.3400,383242
2020-05-12,7.1100,7.2898,5.8800,5.9900,420817
2020-05-11,7.2100,7.7300,6.5325,7.7000,143867
2020-05-08,6.8000,7.5500,6.6868,7.3300,242871
2020-05-07,5.8600,6.7200,5.8600,6.7000,282487
2020-05-06,6.0000,7.2400,5.1800,5.6500,1529987
2020-05-05,4.7500,4.9000,4.5320,4.8600,59545
2020-05-04,4.8000,4.8300,4.5000,4.7800,27184
2020-05-01,4.6500,4.9000,4.5201,4.8300,31269
